subscription_id,customer_id,plan_id,start_date,end_date,status,billing_cycle
145,1118,2,2026-08-12,,Active,Annual
146,1118,1,2026-12-26,,Active,Monthly
147,1119,2,2024-06-28,2025-03-21,Churned,Monthly
148,1120,1,2025-10-03,,Active,Monthly
149,1121,2,2024-07-21,,Active,Monthly
150,1122,2,2024-03-08,,Active,Monthly
151,1123,1,2026-02-17,,Active,Monthly
152,1124,2,2024-12-09,,Active,Annual
153,1124,2,2025-03-01,,Active,Monthly
154,1125,1,2025-11-10,,Active,Monthly
155,1126,1,2025-05-03,,Active,Monthly
156,1127,3,2023-03-20,,Active,Monthly
157,1128,1,2025-12-28,2026-07-05,Churned,Monthly
158,1129,1,2025-09-21,,Active,Monthly
159,1130,2,2024-07-13,,Active,Monthly
160,1131,1,2022-12-17,,Active,Monthly
161,1132,3,2026-09-18,,Active,Annual
162,1133,1,2025-07-15,2026-07-11,Churned,Monthly
163,1134,1,2023-06-07,,Active,Annual
164,1135,2,2025-08-25,,Active,Monthly
165,1135,1,2024-12-21,,Active,Monthly
166,1136,1,2023-10-16,,Active,Annual
167,1136,1,2024-02-02,,Active,Annual
168,1137,1,2023-12-12,,Active,Annual
169,1138,2,2023-07-07,,Active,Monthly
170,1139,2,2024-12-23,,Active,Monthly
171,1140,1,2026-02-12,,Active,Monthly
172,1141,3,2023-09-21,,Active,Annual
173,1142,1,2023-05-03,2024-06-04,Churned,Monthly
174,1143,2,2025-04-17,,Active,Annual
175,1144,1,2024-06-14,,Paused,Monthly
176,1145,2,2025-08-23,,Active,Monthly
177,1146,1,2024-03-12,,Active,Monthly
178,1147,1,2023-09-18,,Active,Annual
179,1147,1,2023-04-28,,Active,Annual
180,1148,1,2026-07-11,2027-05-11,Churned,Monthly
181,1149,1,2023-11-23,2024-04-11,Churned,Annual
182,1149,2,2023-08-09,,Active,Monthly
183,1150,1,2023-05-15,,Active,Monthly
184,1150,1,2022-10-21,,Active,Annual
185,1151,1,2026-08-23,,Active,Monthly
186,1152,2,2027-01-25,,Active,Annual
187,1152,2,2027-03-09,,Active,Monthly
188,1153,1,2026-08-20,,Active,Monthly
189,1153,1,2026-04-23,2026-06-18,Churned,Annual
190,1154,2,2026-10-04,2026-12-06,Churned,Monthly
191,1155,1,2025-07-21,,Active,Monthly
192,1156,1,2023-08-03,,Active,Monthly
193,1157,2,2025-08-30,,Active,Monthly
194,1158,1,2022-10-29,,Active,Monthly
195,1158,1,2023-02-17,,Active,Monthly
196,1159,2,2025-09-23,,Active,Monthly
197,1160,2,2024-11-10,,Active,Monthly
198,1161,3,2023-05-08,2023-07-15,Churned,Monthly
199,1162,1,2024-01-14,,Active,Monthly
200,1163,1,2023-10-15,,Active,Annual
201,1164,2,2024-03-10,,Active,Monthly
202,1164,1,2024-12-19,,Active,Monthly
203,1165,1,2025-03-12,,Active,Monthly
204,1166,2,2024-03-15,2024-07-07,Churned,Monthly
205,1166,1,2024-06-08,,Active,Annual
206,1167,1,2025-05-21,2026-06-07,Churned,Monthly
207,1167,1,2025-03-13,,Active,Monthly
208,1168,2,2024-02-04,,Active,Monthly
209,1169,2,2024-06-07,,Paused,Monthly
210,1169,2,2024-04-20,,Active,Annual
211,1170,1,2024-05-01,,Active,Monthly
212,1171,2,2023-08-06,,Active,Monthly
213,1172,1,2023-08-06,,Active,Monthly
214,1173,1,2027-01-07,,Active,Monthly
215,1174,1,2024-02-20,,Active,Monthly
216,1175,1,2026-10-12,,Active,Annual
217,1175,1,2027-04-01,,Active,Annual
218,1176,3,2027-01-28,2027-07-06,Churned,Annual
219,1177,3,2025-07-31,,Active,Monthly
220,1178,2,2024-10-05,,Active,Monthly
221,1179,1,2024-08-29,,Active,Annual
222,1180,1,2025-06-03,,Active,Annual
223,1180,2,2025-07-16,,Active,Monthly
224,1181,2,2025-05-14,,Active,Monthly
225,1182,1,2025-01-23,2025-09-18,Churned,Monthly
226,1183,1,2025-11-18,,Active,Monthly
227,1184,2,2025-12-19,,Active,Monthly
228,1184,2,2026-04-04,,Active,Monthly
229,1185,1,2025-01-22,,Active,Monthly
230,1185,2,2024-12-26,,Active,Annual
231,1186,1,2025-12-14,,Active,Monthly
232,1186,2,2026-06-09,,Active,Monthly
233,1187,1,2023-08-29,,Active,Monthly
234,1188,1,2023-09-08,,Active,Annual
235,1189,1,2023-02-21,,Active,Monthly
236,1190,1,2024-08-26,,Active,Annual
237,1191,2,2024-12-25,,Active,Monthly
238,1192,2,2023-07-09,,Active,Monthly
239,1193,3,2025-09-23,,Active,Monthly
240,1194,2,2026-02-05,2027-01-03,Churned,Monthly
241,1195,1,2025-03-08,,Active,Monthly
242,1196,2,2024-03-13,2024-06-24,Churned,Annual
243,1197,2,2024-07-30,,Active,Monthly
244,1198,3,2023-08-21,,Active,Monthly
245,1198,2,2024-03-05,2024-09-19,Churned,Monthly
246,1199,1,2025-08-26,,Active,Monthly
247,1199,1,2025-08-02,,Paused,Monthly
248,1200,1,2026-06-05,,Active,Monthly
249,1201,1,2022-11-08,,Active,Monthly
250,1202,2,2024-03-15,,Active,Monthly
251,1203,1,2024-02-12,,Active,Monthly
252,1203,1,2024-07-21,,Active,Annual
253,1204,2,2023-07-10,,Active,Annual
254,1205,1,2023-10-22,,Active,Monthly
255,1206,1,2024-05-16,2025-02-06,Churned,Annual
256,1207,3,2023-11-16,,Paused,Monthly
257,1208,2,2023-07-25,,Active,Monthly
258,1208,3,2023-10-12,,Active,Monthly
259,1209,1,2026-08-26,,Active,Monthly
260,1210,3,2026-02-20,,Active,Annual
261,1211,3,2024-08-03,,Active,Annual
262,1212,1,2025-05-24,,Paused,Annual
263,1213,3,2024-07-17,,Active,Monthly
264,1213,1,2024-11-15,,Active,Monthly
265,1214,3,2023-11-24,,Active,Annual
266,1214,2,2024-07-16,,Active,Annual
267,1215,2,2024-07-04,,Active,Annual
268,1216,2,2024-11-06,,Paused,Monthly
269,1217,2,2026-03-24,2026-09-21,Churned,Monthly
270,1218,2,2024-07-13,2024-10-18,Churned,Monthly
271,1219,1,2023-11-11,,Active,Monthly
272,1219,2,2023-07-31,,Active,Monthly
273,1220,1,2025-09-10,,Active,Monthly
274,1221,1,2023-07-25,2023-12-17,Churned,Monthly
275,1222,1,2026-02-10,,Active,Monthly
276,1222,1,2025-12-12,,Active,Monthly
277,1223,1,2026-04-20,2026-11-24,Churned,Annual
278,1224,1,2023-09-05,,Active,Monthly
279,1225,1,2025-03-27,2025-08-23,Churned,Monthly
280,1226,1,2024-12-16,,Active,Monthly
281,1227,2,2024-04-21,,Active,Monthly
282,1227,1,2024-08-23,,Active,Annual
283,1228,1,2024-03-16,2024-05-04,Churned,Annual
284,1229,1,2024-05-22,2024-10-19,Churned,Monthly
285,1230,1,2025-12-19,,Active,Annual
286,1230,1,2026-10-02,,Active,Monthly
287,1231,2,2025-01-23,,Active,Monthly
288,1232,2,2025-05-16,,Active,Monthly
289,1232,1,2024-07-21,,Active,Monthly
290,1233,1,2025-11-06,,Active,Monthly
291,1234,1,2025-06-18,,Active,Monthly
292,1235,3,2022-12-05,2023-03-07,Churned,Monthly
293,1236,3,2026-08-28,2027-01-13,Churned,Monthly
294,1236,1,2026-12-02,,Active,Monthly
295,1237,2,2026-10-11,,Active,Monthly
296,1238,1,2024-01-13,,Active,Monthly
297,1239,2,2023-05-12,,Active,Monthly
298,1240,2,2025-05-19,,Active,Monthly
299,1240,2,2025-07-23,,Active,Annual
300,1241,1,2025-07-09,2026-02-07,Churned,Monthly
301,1242,2,2023-04-28,,Paused,Annual
302,1242,2,2023-05-12,2024-06-24,Churned,Annual
303,1243,2,2022-09-09,,Active,Monthly
304,1244,2,2025-10-25,,Active,Monthly
305,1244,3,2025-05-29,,Paused,Monthly
306,1245,2,2026-04-14,,Active,Annual
307,1245,1,2025-05-27,2026-02-26,Churned,Monthly
308,1246,2,2023-11-19,,Active,Monthly
309,1246,2,2023-11-28,2024-02-07,Churned,Annual
310,1247,1,2026-03-07,2026-08-24,Churned,Annual
311,1248,2,2023-10-17,,Active,Monthly
312,1249,1,2025-04-24,,Active,Annual
313,1249,1,2025-03-04,2026-03-28,Churned,Monthly
314,1250,1,2024-04-20,,Active,Monthly
315,1251,1,2024-10-17,,Active,Annual
316,1252,2,2023-04-09,,Active,Monthly
317,1253,1,2026-06-28,,Active,Monthly
318,1254,1,2025-05-10,2026-08-08,Churned,Annual
319,1255,2,2024-02-13,2025-03-27,Churned,Annual
320,1256,1,2025-09-13,,Active,Monthly
321,1257,1,2024-05-23,,Active,Monthly
322,1258,1,2023-12-20,,Active,Annual
323,1258,2,2023-10-12,,Active,Annual
324,1259,2,2023-01-13,2023-10-16,Churned,Monthly
325,1260,2,2026-03-10,,Active,Monthly
326,1261,1,2025-11-11,,Active,Monthly
327,1262,2,2026-07-15,,Active,Monthly
328,1262,1,2025-09-13,,Active,Monthly
329,1263,1,2025-01-24,2026-02-17,Churned,Monthly
330,1264,1,2026-08-08,,Active,Monthly
331,1264,2,2026-04-30,,Active,Monthly
332,1265,2,2027-04-23,,Active,Monthly
333,1266,3,2025-05-21,,Active,Monthly
334,1267,2,2026-02-11,,Active,Annual
335,1268,2,2023-12-21,2025-02-09,Churned,Monthly
336,1269,2,2026-12-27,2027-09-09,Churned,Monthly
337,1270,1,2026-01-31,,Active,Monthly
338,1271,3,2024-06-29,2025-03-06,Churned,Annual
339,1272,1,2027-04-08,,Active,Monthly
340,1273,3,2025-02-21,,Active,Monthly
341,1274,1,2024-11-20,,Active,Monthly
342,1275,2,2026-03-22,,Active,Monthly
343,1276,2,2025-03-08,2025-10-18,Churned,Monthly
344,1277,1,2023-10-29,,Active,Monthly
345,1278,1,2023-01-01,,Active,Monthly
346,1278,1,2023-07-07,2023-09-14,Churned,Annual
347,1279,1,2025-01-25,,Active,Annual
348,1279,3,2025-02-27,,Active,Annual
349,1280,3,2026-09-01,2027-08-13,Churned,Monthly
350,1281,1,2026-06-29,,Active,Annual
351,1282,2,2023-10-27,,Active,Annual
352,1282,2,2023-08-04,,Active,Monthly
353,1283,1,2023-03-11,,Active,Monthly
354,1284,1,2025-02-06,,Active,Monthly
355,1285,2,2026-09-09,,Active,Monthly
356,1286,1,2025-12-25,2026-04-12,Churned,Annual
357,1287,2,2024-04-28,2025-06-27,Churned,Monthly
358,1287,1,2024-04-14,,Active,Annual
359,1288,1,2023-08-18,,Active,Monthly
360,1288,1,2023-11-26,,Active,Monthly
361,1289,2,2025-05-12,,Active,Monthly
362,1289,1,2025-02-20,,Active,Monthly
363,1290,1,2023-10-05,,Active,Monthly
364,1291,2,2022-10-10,2024-01-08,Churned,Monthly
365,1292,1,2025-01-13,,Active,Monthly
366,1293,1,2025-05-28,,Active,Monthly
367,1294,2,2023-10-08,,Active,Monthly
368,1294,1,2024-08-15,2025-07-20,Churned,Monthly
369,1295,1,2026-01-06,,Active,Monthly
370,1296,1,2026-04-27,,Active,Monthly
371,1296,1,2026-09-29,2027-03-04,Churned,Annual
372,1297,2,2023-10-06,,Active,Monthly
373,1298,1,2025-06-06,,Active,Monthly
374,1299,3,2025-06-03,,Active,Monthly
375,1300,1,2023-06-03,,Active,Monthly
376,1301,1,2025-11-29,,Active,Monthly
377,1302,1,2024-02-14,,Active,Annual
378,1303,2,2025-03-15,,Active,Monthly
379,1304,1,2024-04-23,,Active,Monthly
380,1305,1,2023-05-15,,Active,Monthly
381,1305,1,2024-02-24,,Active,Monthly
382,1306,3,2024-01-12,,Active,Monthly
383,1307,1,2025-11-18,,Active,Monthly
384,1308,1,2024-07-20,2025-01-17,Churned,Monthly
385,1309,2,2024-11-10,,Active,Monthly
386,1309,2,2025-06-16,2026-01-04,Churned,Annual
387,1310,1,2024-08-07,2025-03-17,Churned,Monthly
388,1310,1,2023-12-13,2025-03-12,Churned,Annual
389,1311,1,2024-07-05,,Active,Monthly
390,1312,2,2026-10-10,,Active,Monthly
391,1313,1,2026-10-02,,Active,Monthly
392,1313,2,2026-07-11,,Active,Annual
393,1314,3,2023-11-06,,Active,Annual
394,1314,2,2024-02-21,,Active,Monthly
395,1315,2,2023-01-24,,Active,Monthly
396,1316,2,2023-12-07,,Active,Monthly
397,1317,1,2025-01-09,2025-10-12,Churned,Annual
398,1318,1,2026-08-18,,Active,Monthly
399,1318,1,2026-07-30,,Active,Annual
400,1319,2,2023-07-08,,Active,Monthly
401,1319,1,2023-09-30,2025-02-07,Churned,Monthly
402,1320,1,2025-04-25,,Active,Monthly
403,1321,2,2025-11-01,,Active,Monthly
404,1322,1,2023-04-08,,Active,Monthly
405,1322,1,2022-11-18,,Active,Monthly
406,1323,2,2024-03-22,2025-08-03,Churned,Monthly
407,1323,2,2024-09-09,,Active,Monthly
408,1324,1,2024-09-04,,Active,Monthly
409,1325,2,2025-11-03,,Active,Monthly
410,1326,2,2026-01-31,,Active,Annual
411,1327,1,2023-07-30,2024-03-30,Churned,Monthly
412,1328,2,2025-01-28,,Active,Monthly
413,1329,2,2027-03-07,,Active,Monthly
414,1329,1,2027-02-24,,Active,Monthly
415,1330,2,2025-02-14,,Active,Annual
416,1331,1,2023-10-19,2024-05-20,Churned,Monthly
417,1332,1,2027-03-18,,Active,Monthly
418,1333,1,2023-04-06,,Active,Monthly
419,1334,1,2023-03-19,,Paused,Monthly
420,1335,1,2023-11-08,,Active,Annual
421,1335,2,2023-07-08,,Active,Monthly
422,1336,2,2023-02-23,,Active,Monthly
423,1337,2,2026-12-28,,Active,Monthly
424,1338,1,2023-11-04,2025-01-04,Churned,Annual
425,1339,1,2025-01-06,,Paused,Annual
426,1339,2,2025-03-31,,Active,Annual
427,1340,1,2024-12-29,,Active,Monthly
428,1341,1,2026-07-04,2027-02-01,Churned,Annual
429,1342,1,2025-03-09,,Active,Monthly
430,1342,1,2025-04-17,,Active,Monthly
431,1343,1,2023-05-17,,Active,Monthly
432,1344,2,2024-05-14,,Active,Monthly
433,1344,2,2024-05-25,,Active,Monthly
434,1345,2,2026-10-25,,Active,Monthly
435,1346,1,2026-06-27,2027-01-10,Churned,Monthly
436,1347,2,2024-05-18,,Active,Monthly
437,1348,1,2024-03-18,,Paused,Monthly
438,1349,2,2024-07-06,,Active,Monthly
439,1349,1,2024-11-30,,Active,Monthly
440,1350,3,2025-11-27,,Active,Monthly
441,1351,2,2024-11-07,,Active,Monthly
442,1352,2,2024-11-05,2025-01-08,Churned,Monthly
443,1353,2,2024-12-29,,Active,Monthly
444,1354,1,2026-11-29,2027-08-16,Churned,Monthly
445,1355,2,2026-03-23,,Active,Monthly
446,1355,2,2025-11-23,,Active,Monthly
447,1356,3,2023-04-05,,Paused,Monthly
448,1357,2,2024-06-30,,Active,Monthly
449,1358,1,2026-05-09,,Active,Monthly
450,1359,1,2023-09-25,,Active,Monthly
451,1360,1,2023-10-17,,Active,Monthly
452,1361,2,2026-04-20,,Active,Monthly
453,1362,1,2023-07-18,,Active,Monthly
454,1362,1,2023-05-15,,Active,Annual
455,1363,3,2025-09-16,,Active,Monthly
456,1364,2,2024-08-26,,Active,Monthly
457,1364,1,2024-02-19,,Active,Monthly
458,1365,1,2023-05-10,,Active,Monthly
459,1366,1,2024-09-01,,Active,Monthly
460,1367,2,2026-11-22,,Active,Monthly
461,1368,1,2025-02-16,2025-08-27,Churned,Monthly
462,1368,2,2025-12-04,2026-08-29,Churned,Annual
463,1369,2,2024-12-21,2026-03-20,Churned,Monthly
464,1370,2,2023-07-06,,Active,Monthly
465,1370,1,2022-10-18,,Active,Monthly
466,1371,1,2025-01-17,,Active,Monthly
467,1372,3,2023-10-13,,Active,Annual
468,1373,1,2025-08-16,,Active,Monthly
469,1374,1,2026-04-30,,Active,Monthly
470,1375,2,2026-05-19,,Active,Annual
471,1376,1,2025-09-24,2026-09-08,Churned,Annual
472,1376,2,2026-05-13,,Active,Annual
473,1377,2,2024-01-02,2024-12-25,Churned,Monthly
474,1378,2,2025-06-06,,Active,Monthly
475,1378,1,2025-08-23,,Paused,Monthly
476,1379,1,2023-04-13,,Active,Monthly
477,1379,2,2023-03-12,,Active,Monthly
478,1380,1,2024-10-30,2024-12-29,Churned,Monthly
479,1381,2,2023-05-21,,Active,Monthly
480,1382,1,2025-03-29,,Active,Monthly
481,1383,1,2026-07-31,,Active,Annual
482,1383,1,2026-08-13,,Active,Monthly
483,1384,2,2022-12-08,,Active,Annual
484,1385,1,2026-10-21,,Active,Monthly
485,1386,1,2023-11-02,,Active,Monthly
486,1387,2,2024-08-22,,Active,Monthly
487,1388,1,2024-06-19,,Active,Annual
488,1389,2,2025-04-01,,Active,Monthly
489,1390,1,2024-04-23,2024-10-14,Churned,Monthly
490,1391,3,2023-11-06,,Active,Annual
491,1392,2,2024-08-29,,Active,Annual
492,1393,1,2024-10-04,,Active,Monthly
493,1394,1,2024-03-08,,Active,Monthly
494,1395,2,2024-05-27,,Active,Monthly
495,1396,1,2025-01-25,,Active,Annual
496,1396,1,2024-04-01,,Active,Annual
497,1397,1,2025-06-11,,Active,Monthly
498,1398,1,2023-10-22,2023-12-10,Churned,Monthly
499,1399,2,2024-12-27,,Active,Monthly
500,1400,2,2025-10-28,2026-10-06,Churned,Monthly
501,1401,2,2023-03-08,,Active,Monthly
502,1402,2,2023-12-29,,Active,Monthly
503,1403,1,2024-05-25,,Active,Monthly
504,1404,1,2026-06-02,2027-01-31,Churned,Annual
505,1405,1,2024-03-21,,Active,Monthly
506,1406,2,2027-01-30,,Active,Monthly
507,1407,2,2025-12-26,,Active,Monthly
508,1408,2,2025-08-26,,Active,Monthly
509,1409,3,2023-08-31,2024-09-22,Churned,Monthly
510,1409,2,2023-06-24,2024-03-05,Churned,Monthly
511,1410,1,2023-09-15,,Active,Monthly
512,1411,1,2024-05-18,,Active,Monthly
513,1412,2,2023-04-30,,Active,Monthly
514,1413,2,2024-02-13,,Active,Monthly
515,1414,1,2025-08-01,,Active,Annual
516,1414,2,2025-06-08,,Active,Monthly
517,1415,1,2027-02-03,,Active,Monthly
518,1416,1,2023-08-09,,Active,Monthly
519,1416,2,2023-08-19,,Active,Monthly
520,1417,1,2027-02-24,,Active,Annual
521,1418,2,2024-03-03,,Active,Monthly
522,1418,1,2024-07-19,,Active,Monthly
523,1419,2,2026-04-05,,Active,Monthly
524,1419,1,2027-01-21,2027-10-04,Churned,Monthly
525,1420,1,2023-05-24,,Active,Monthly
526,1421,2,2024-01-02,,Active,Monthly
527,1422,1,2024-08-16,,Active,Monthly
528,1423,1,2024-11-03,,Active,Monthly
529,1423,2,2025-02-07,,Active,Monthly
530,1424,3,2023-04-04,2024-02-09,Churned,Annual
531,1425,2,2026-02-12,,Active,Monthly
532,1425,3,2026-07-25,,Active,Monthly
533,1426,1,2022-12-30,,Active,Monthly
534,1426,2,2022-09-02,,Active,Annual
535,1427,1,2025-06-17,,Active,Monthly
536,1428,1,2024-04-11,,Paused,Monthly
537,1428,1,2024-08-02,,Active,Monthly
538,1429,1,2024-05-17,,Paused,Annual
539,1430,2,2024-12-10,,Active,Annual
540,1431,2,2026-04-16,,Active,Annual
541,1432,2,2024-09-08,,Active,Monthly
542,1432,2,2024-02-20,,Active,Monthly
543,1433,1,2024-08-06,2025-02-24,Churned,Monthly
544,1434,1,2024-06-18,,Active,Monthly
545,1434,1,2024-07-10,,Active,Monthly
546,1435,3,2024-08-11,,Active,Monthly
547,1435,1,2024-01-09,2024-04-19,Churned,Monthly
548,1436,2,2024-04-15,2024-11-27,Churned,Monthly
549,1437,2,2026-11-02,,Active,Annual
550,1438,1,2026-05-07,,Active,Monthly
551,1439,1,2024-07-17,2025-01-20,Churned,Monthly
552,1440,2,2026-08-08,,Active,Monthly
553,1441,1,2026-07-23,,Active,Monthly
554,1442,2,2024-02-07,,Active,Monthly
555,1442,1,2023-10-10,,Active,Monthly
556,1443,2,2023-07-08,,Active,Monthly
557,1443,1,2023-08-27,,Active,Monthly
558,1444,1,2025-09-26,,Active,Annual
559,1444,1,2025-07-03,,Active,Monthly
560,1445,1,2024-09-19,2025-12-17,Churned,Monthly
561,1446,2,2027-02-07,,Active,Monthly
562,1447,1,2025-07-10,,Active,Monthly
563,1448,1,2024-01-30,2024-11-16,Churned,Monthly
564,1449,1,2024-05-22,,Active,Monthly
565,1450,2,2024-06-19,,Active,Monthly
566,1451,2,2026-02-05,,Active,Annual
567,1452,1,2023-05-10,2024-01-11,Churned,Monthly
568,1453,2,2023-09-18,,Active,Monthly
569,1454,1,2025-03-08,2025-11-02,Churned,Monthly
570,1454,1,2024-10-10,,Active,Annual
571,1455,1,2025-11-22,,Active,Annual
572,1455,1,2025-07-10,,Active,Monthly
573,1456,1,2024-01-06,,Active,Monthly
574,1457,1,2027-01-26,,Active,Monthly
575,1458,2,2025-10-17,,Active,Annual
576,1458,1,2025-07-22,,Active,Monthly
577,1459,2,2026-01-22,,Active,Monthly
578,1459,1,2026-02-26,,Active,Annual
579,1460,1,2024-05-12,,Active,Monthly
