ticket_id,customer_id,created_date,priority,status
77,5283,2024-09-12,Low,Closed
78,4619,2025-08-20,Critical,Closed
79,1748,2024-09-05,Medium,Closed
80,1818,2025-03-29,Low,Closed
81,4000,2024-04-21,Medium,Closed
82,1575,2025-03-06,Low,Closed
83,1307,2026-03-09,Medium,Closed
84,3122,2025-06-26,Low,Closed
85,4137,2026-01-07,Medium,Open
86,4268,2023-07-18,Medium,Closed
87,5433,2025-02-14,Medium,Closed
88,3599,2024-01-15,Low,Closed
89,1966,2023-08-28,Medium,Closed
90,2956,2026-06-18,Low,Closed
91,5503,2024-02-28,Medium,In Progress
92,2580,2024-05-19,High,Closed
93,3144,2023-08-02,High,Closed
94,1988,2026-03-29,Low,In Progress
95,3717,2025-10-05,Low,Closed
96,4491,2024-08-24,Low,In Progress
97,2157,2025-09-05,High,Closed
98,3173,2025-06-10,Low,In Progress
99,4356,2025-04-21,Medium,Closed
100,2287,2025-05-17,High,Closed
101,2328,2023-10-07,Low,In Progress
102,3074,2023-10-23,High,Closed
103,5005,2023-12-31,Low,Closed
104,4199,2025-07-02,Critical,Closed
105,4368,2024-03-06,Low,Closed
106,2139,2025-04-27,Medium,Closed
107,5511,2023-12-22,Low,Closed
108,3270,2024-06-29,Low,Open
109,1624,2026-02-07,High,Closed
110,2821,2023-08-16,Low,Open
111,3628,2025-02-28,High,Closed
112,3730,2024-07-08,High,Closed
113,5968,2024-03-12,Low,Closed
114,4991,2024-05-16,Low,Closed
115,2967,2023-12-30,Critical,Closed
116,5914,2026-03-23,High,Closed
117,3419,2025-12-14,Medium,Closed
118,1760,2025-06-13,Low,Closed
119,3813,2024-05-23,Low,In Progress
120,5521,2025-03-05,Medium,Closed
121,3036,2024-05-13,High,Closed
122,4770,2024-09-08,Medium,Closed
123,4132,2026-06-20,Medium,Closed
124,3307,2024-09-19,Medium,Closed
125,1990,2026-01-06,Medium,Open
126,2175,2025-03-18,Low,Closed
127,3911,2024-09-11,High,Closed
128,1728,2023-07-30,Medium,Closed
129,1424,2023-11-10,Medium,Closed
130,1319,2024-06-22,High,Closed
131,4803,2023-08-15,Medium,In Progress
132,5246,2025-05-07,Low,Closed
133,1599,2023-10-10,High,Closed
134,4435,2025-09-23,High,Open
135,3972,2024-12-09,Low,Closed
136,2839,2024-05-31,Low,Closed
137,1160,2024-10-19,High,Closed
138,1267,2023-09-11,Critical,Closed
139,3984,2024-10-10,Medium,Closed
140,5551,2026-05-17,Low,In Progress
141,2158,2023-07-22,High,Closed
142,3891,2024-04-17,Medium,Closed
143,3143,2024-08-03,Critical,Closed
144,3097,2025-09-24,Low,Closed
145,2414,2024-04-01,Medium,Closed
146,1496,2025-01-01,Medium,Open
147,4885,2023-07-17,High,In Progress
148,3824,2024-04-28,High,Closed
149,1756,2024-06-26,Low,Closed
150,2735,2024-10-25,Critical,Closed
151,5472,2024-01-12,Low,Closed
152,1234,2026-05-21,Low,Closed
153,5896,2024-04-11,Medium,Open
154,4637,2024-07-24,Medium,Closed
155,2621,2025-01-26,Low,In Progress
156,2285,2025-01-22,Low,In Progress
157,1968,2025-12-14,High,Open
158,2532,2024-07-18,Low,Closed
159,3022,2025-12-27,Low,Closed
160,5501,2026-03-28,Low,Open
161,1567,2024-03-06,Medium,Closed
162,5014,2024-12-27,High,Closed
163,2117,2025-05-18,Low,Closed
164,3165,2026-01-02,Low,Open
165,5683,2025-09-16,Medium,In Progress
166,5156,2024-05-31,Medium,Closed
167,2442,2026-05-01,Low,In Progress
168,2018,2025-02-21,Low,Closed
169,2028,2024-01-09,Low,Closed
170,1882,2024-10-26,Low,Open
171,2094,2025-02-14,Medium,Closed
172,4604,2025-07-15,Medium,Closed
173,1360,2026-06-18,Medium,In Progress
174,3664,2026-05-24,Medium,In Progress
175,3835,2024-06-02,Medium,Open
176,3285,2025-12-30,Medium,Open
177,2839,2026-04-13,Low,Closed
178,5481,2026-05-19,Low,Open
179,4798,2023-09-07,Low,Closed
180,5270,2025-05-28,Low,Closed
181,4614,2023-10-03,Low,Closed
182,2049,2023-06-27,High,Closed
183,4924,2024-06-02,Low,Closed
184,5179,2025-08-22,Low,Closed
185,5866,2023-10-23,Medium,Closed
186,3442,2026-06-10,Low,Closed
187,2237,2024-07-10,Critical,Closed
188,3131,2025-07-19,High,Closed
189,5767,2024-08-06,Low,In Progress
190,3263,2025-06-26,Low,Closed
191,5028,2026-01-26,Medium,Closed
192,3173,2025-01-09,Critical,Closed
193,1176,2023-12-21,High,Closed
194,3100,2025-04-05,Medium,Closed
195,3881,2023-08-17,High,In Progress
196,5081,2024-04-19,Medium,Closed
197,3334,2023-11-21,Low,Closed
198,4789,2025-02-02,High,Closed
199,5067,2024-05-15,Low,In Progress
200,4722,2023-08-18,Low,Closed
201,5372,2025-08-13,Low,Closed
202,3106,2024-09-15,Low,Closed
203,3102,2024-07-12,Low,Closed
204,3717,2024-07-11,Medium,Closed
205,5396,2025-07-07,Low,Closed
206,5599,2025-11-05,Low,Closed
207,2029,2023-11-18,Critical,Closed
208,3467,2024-12-22,High,Open
209,1590,2025-10-12,Medium,Closed
210,2556,2025-08-16,High,Closed
211,2494,2025-12-18,High,In Progress
212,3092,2024-06-19,Low,Closed
213,1794,2025-07-12,Low,Open
214,5854,2024-05-23,Low,Closed
215,5465,2024-08-11,Medium,Closed
216,5917,2025-11-29,Low,Closed
217,3958,2023-12-28,Medium,In Progress
218,3494,2024-12-08,Medium,Closed
219,3762,2025-07-26,Critical,Closed
220,4844,2024-09-02,Critical,Closed
221,5551,2025-02-20,Medium,Closed
222,4134,2024-11-08,High,Closed
223,3374,2024-07-04,Medium,Closed
224,1915,2026-03-31,Critical,Closed
225,5465,2024-07-31,Medium,In Progress
226,5127,2025-08-27,Low,Open
227,5253,2025-06-24,Low,Closed
228,3775,2026-06-04,Medium,Closed
229,4461,2025-11-05,High,Open
230,5943,2025-11-04,Medium,Closed
231,3247,2024-04-24,Medium,Closed
232,2426,2026-04-12,Medium,Closed
233,3279,2023-08-20,Low,Closed
234,3128,2025-03-02,Medium,Closed
235,5234,2023-10-20,High,Closed
236,3483,2025-06-01,Low,Closed
237,3861,2025-01-30,Low,Closed
238,2655,2024-10-12,Medium,Closed
239,3351,2024-07-28,High,Closed
240,5395,2023-12-16,High,Closed
241,2755,2023-07-31,Low,Closed
242,1978,2023-12-02,High,In Progress
243,4318,2024-02-26,Low,Closed
244,2128,2025-05-12,Low,Closed
245,1305,2025-08-18,Low,Closed
246,5241,2025-10-17,Medium,In Progress
247,3685,2026-02-21,Critical,In Progress
248,2240,2024-10-14,Low,Closed
249,1092,2025-03-26,Medium,Closed
250,4969,2025-02-28,Medium,Closed
251,5687,2024-02-22,Medium,Closed
252,4078,2026-01-21,Low,Open
253,1375,2024-06-27,Critical,In Progress
254,1709,2024-12-29,Low,Closed
255,2827,2024-10-27,Low,Closed
256,2125,2025-01-20,Critical,Closed
257,1200,2023-11-18,Critical,Open
258,2107,2026-04-15,Critical,Closed
259,1503,2025-07-18,Medium,Closed
260,2348,2024-05-28,Low,Closed
261,5291,2026-01-29,Low,In Progress
262,1899,2024-07-20,Low,Closed
263,2197,2023-10-06,Medium,In Progress
264,4767,2024-06-05,High,In Progress
265,2388,2024-05-25,Medium,Closed
266,5841,2024-09-20,Low,Closed
267,5496,2023-08-13,Medium,Closed
268,1899,2023-12-26,Medium,In Progress
269,1109,2023-12-27,Medium,Closed
270,1642,2026-02-28,Low,Closed
271,3860,2023-08-28,Medium,Closed
272,4262,2026-03-29,High,In Progress
273,5472,2025-10-11,Critical,Closed
274,3831,2026-01-08,Medium,Closed
275,1238,2023-07-28,Medium,Closed
276,4478,2025-05-16,Critical,Closed
277,4351,2026-06-15,High,Closed
278,3989,2024-06-09,High,Closed
279,2419,2024-01-21,Low,Closed
280,4485,2025-04-15,High,Closed
281,5468,2025-09-29,Low,Closed
282,5129,2025-08-05,Medium,Closed
283,1470,2025-05-14,Medium,Closed
284,2886,2025-02-07,Critical,Closed
285,4874,2024-08-09,Low,Closed
286,3467,2025-08-28,Medium,Closed
287,5179,2024-11-20,Low,In Progress
288,3586,2025-01-22,Low,Closed
289,5682,2025-03-25,Low,Closed
290,4613,2023-12-01,Low,Closed
291,5959,2023-11-08,Medium,In Progress
292,2717,2024-04-12,Low,In Progress
293,2779,2025-05-21,Low,Open
294,2523,2024-12-31,Medium,Closed
295,1681,2025-08-28,Medium,Closed
296,5884,2025-12-28,Medium,Open
297,1095,2023-11-03,Medium,In Progress
298,1116,2023-12-13,Low,Closed
299,2409,2024-04-30,Medium,In Progress
300,5996,2025-08-13,High,Open
301,4191,2024-03-04,Low,Closed
302,1547,2025-03-07,Low,Closed
303,3998,2024-09-01,Medium,Closed
304,4246,2024-12-03,Medium,Closed
305,3284,2024-07-07,Critical,In Progress
306,1678,2025-09-01,Low,Closed
307,2047,2024-01-25,High,Closed
308,3599,2024-04-05,Low,Closed
309,5795,2023-08-06,Low,Closed
310,1653,2025-11-01,Critical,Closed
311,1727,2025-05-27,Low,Closed
312,4239,2025-03-03,High,Closed
313,3619,2024-07-02,Medium,Closed
314,5484,2024-10-22,Low,Closed
315,4991,2025-11-04,Medium,Open
316,2861,2026-01-20,High,Closed
317,4279,2023-07-30,Medium,Open
318,3362,2025-03-24,Medium,In Progress
319,4149,2024-02-12,High,Closed
320,4810,2025-02-21,High,Closed
321,3520,2024-09-05,Low,Closed
322,5645,2026-06-06,Critical,Closed
323,2599,2023-10-09,Low,In Progress
324,1520,2024-01-14,High,Closed
325,3328,2026-02-13,Medium,Closed
326,4696,2025-01-14,Critical,Closed
327,2659,2025-03-18,Low,In Progress
328,4594,2024-01-18,Medium,Closed
329,3578,2026-04-13,Low,Closed
330,2663,2025-04-13,Medium,Closed
331,2690,2023-07-06,Medium,Closed
332,2381,2024-10-20,Medium,In Progress
333,1071,2024-10-13,Medium,Closed
334,1477,2024-09-18,Low,Closed
335,3282,2024-02-16,Critical,Open
336,3288,2024-01-03,High,Open
337,3545,2026-02-23,High,In Progress
338,3102,2025-11-15,High,Closed
339,5867,2025-06-12,Medium,Closed
340,2824,2024-09-10,Medium,Closed
341,3608,2023-09-06,Critical,Closed
342,4103,2025-07-30,Medium,Closed
343,2771,2024-05-19,Low,Closed
344,3749,2023-12-15,Medium,In Progress
345,5726,2024-03-07,Low,Closed
346,5148,2023-12-20,Medium,Closed
347,3050,2025-07-14,Low,Closed
348,4697,2024-02-11,Critical,Closed
349,4124,2023-07-06,Critical,In Progress
350,3469,2024-01-14,Medium,Closed
351,3628,2026-05-05,Medium,Closed
352,4504,2026-05-11,Medium,Closed
353,4257,2025-03-13,Low,Closed
354,1267,2024-12-28,Low,Open
355,2333,2025-08-01,Medium,Open
356,3275,2023-06-28,High,Closed
357,3012,2024-01-01,Medium,Open
358,3694,2024-09-06,Medium,Closed
359,4587,2023-09-25,High,Closed
360,2970,2024-03-27,Critical,Closed
361,3864,2025-08-08,High,Closed
362,1270,2024-09-12,Low,Closed
363,2180,2024-09-17,Critical,In Progress
364,1895,2025-05-26,Critical,Closed
365,1226,2025-05-07,Medium,In Progress
366,5288,2025-01-04,Medium,Closed
367,1626,2024-11-05,Medium,Closed
368,4177,2024-11-04,Low,Closed
369,2716,2023-07-14,Medium,Open
370,2926,2023-10-12,Critical,Closed
371,4508,2026-01-18,High,In Progress
372,3769,2025-02-07,Low,Closed
373,5703,2025-02-05,Medium,Open
374,4276,2025-02-23,Medium,Closed
375,4142,2024-04-28,Medium,Closed
376,2916,2024-05-22,High,Closed
377,4993,2025-02-07,Medium,Closed
378,2981,2025-07-25,Medium,In Progress
379,1269,2023-07-28,Critical,Closed
380,2613,2026-04-23,Critical,In Progress
381,3073,2025-08-07,Critical,In Progress
382,1585,2024-05-08,Low,Closed
383,2860,2026-05-27,Medium,Closed
384,2542,2024-11-27,Medium,Closed
385,4273,2023-12-10,High,Closed
386,1006,2023-08-28,Low,Closed
387,5245,2025-03-05,Low,Closed
388,1091,2024-06-22,Low,Closed
389,5245,2024-06-28,Medium,Closed
390,3052,2026-01-10,Medium,Closed
391,4879,2024-01-16,Medium,Closed
392,4767,2023-10-31,Low,Closed
393,4256,2025-02-20,Low,Closed
394,4101,2025-08-29,Low,Closed
395,5637,2024-02-16,Medium,Closed
396,5497,2024-06-29,High,Closed
397,4960,2025-05-30,Low,Closed
398,3350,2025-01-16,Low,In Progress
399,5822,2023-10-21,Low,Closed
400,1335,2026-02-07,Low,Open
401,5023,2024-10-28,Low,Closed
402,4004,2023-08-10,Medium,Closed
403,5361,2023-08-10,Medium,Closed
404,3525,2024-06-28,Medium,Open
405,4879,2025-10-09,High,Closed
406,5008,2025-11-07,High,Open
407,5842,2025-01-22,Critical,Closed
408,4777,2024-05-26,Medium,Open
409,5067,2024-05-17,Medium,Open
410,5315,2025-08-24,High,Closed
411,3726,2024-04-16,Low,Closed
412,5372,2024-02-10,Critical,In Progress
413,2817,2024-07-26,Critical,Open
414,3956,2025-10-28,High,Closed
415,3283,2026-02-16,Medium,Closed
416,3951,2024-12-17,High,Open
417,4844,2024-03-10,Medium,Closed
418,3069,2024-03-30,Medium,Closed
419,4427,2024-12-08,High,Closed
420,3963,2024-02-12,Low,Closed
421,4764,2023-11-11,Low,Closed
422,1566,2023-12-06,Low,Closed
423,3074,2025-06-15,Medium,In Progress
424,3674,2025-11-14,Medium,Closed
425,1203,2025-06-28,Low,Closed
426,2202,2024-01-30,Medium,Closed
427,2005,2026-03-30,High,Closed
428,3764,2023-11-07,Low,Closed
429,4256,2025-03-26,Critical,In Progress
430,1101,2024-07-20,Critical,In Progress
431,2397,2025-10-06,Medium,Closed
432,5318,2025-04-11,Low,Closed
433,1117,2025-08-31,Medium,Closed
434,1535,2024-01-14,High,Closed
435,1591,2025-01-04,Critical,Closed
436,1498,2024-02-01,Low,Closed
437,5280,2024-12-09,Medium,Closed
438,2001,2025-09-20,High,Closed
439,5093,2025-04-05,High,Closed
440,2650,2025-06-26,High,Closed
441,2994,2025-06-27,Medium,Closed
442,5023,2026-05-03,Critical,In Progress
443,5545,2024-11-11,Medium,In Progress
444,3115,2023-09-19,High,In Progress
445,1489,2024-03-02,Low,Open
446,1878,2024-11-20,High,In Progress
447,3070,2025-10-07,Low,Closed
448,1992,2023-08-04,Low,Closed
449,4399,2024-05-27,Low,In Progress
450,2392,2023-08-14,High,Closed
451,3052,2024-04-18,High,Closed
452,3892,2024-05-27,High,Closed
453,4413,2024-11-27,Critical,Closed
454,4015,2025-02-16,High,In Progress
455,4179,2023-09-01,Critical,Closed
456,1738,2025-04-02,Low,Open
457,1094,2025-02-05,Medium,Closed
458,2477,2023-07-18,Low,Closed
459,4315,2025-07-01,High,Closed
460,3658,2024-07-11,Low,Closed
461,5694,2025-12-11,Low,In Progress
462,2973,2025-04-10,Low,Closed
463,1539,2024-11-08,Low,In Progress
464,5446,2025-11-26,Medium,Closed
465,3278,2025-10-24,High,Closed
466,5580,2024-10-24,High,Open
467,4386,2023-09-12,High,Closed
468,2930,2026-03-04,Low,Closed
469,4432,2026-03-28,Medium,Closed
470,5774,2024-05-10,Low,Closed
471,1667,2024-05-08,Medium,Closed
472,3589,2024-07-29,Critical,Closed
473,5706,2025-06-09,Low,Closed
474,3443,2025-10-06,Low,Closed
475,4248,2024-02-24,Low,In Progress
476,1134,2025-09-09,Medium,Closed
477,1527,2023-12-23,Medium,Closed
478,2878,2024-10-28,High,Closed
479,3315,2025-09-19,Critical,Closed
480,5100,2025-10-16,High,Closed
481,5888,2024-09-15,Low,Closed
482,5862,2026-04-17,Medium,In Progress
483,2311,2025-05-13,Medium,Closed
484,1547,2025-07-05,High,Closed
485,2080,2025-03-24,Medium,Closed
486,5836,2025-07-27,Low,Closed
487,3071,2026-03-21,High,Closed
488,4239,2024-09-20,Medium,Closed
489,5134,2024-01-03,Low,In Progress
490,3455,2026-02-14,Critical,Closed
491,3894,2025-06-14,High,Closed
492,2171,2026-03-30,Medium,In Progress
493,1683,2024-08-29,Medium,Closed
494,1612,2024-12-14,Low,Open
495,2597,2026-05-23,Medium,Closed
496,3548,2026-02-23,Medium,In Progress
497,2390,2025-01-02,Medium,Closed
498,3574,2026-03-16,Low,Open
499,2550,2023-11-09,Low,Closed
500,5426,2025-07-30,Critical,Open
501,2653,2025-11-02,Medium,In Progress
502,4543,2023-06-30,Medium,In Progress
503,5601,2024-04-07,Medium,Closed
504,3095,2023-08-04,High,Closed
505,2458,2024-01-28,High,In Progress
506,1692,2024-10-31,High,Closed
507,2287,2023-07-11,High,Closed
508,1824,2023-07-08,Low,Closed
509,1117,2023-12-08,Low,Closed
510,5166,2024-03-06,High,Closed
511,4729,2025-05-22,High,Closed
512,4721,2025-12-02,Medium,Open
513,5145,2025-07-15,High,Closed
514,1038,2026-02-02,Low,Closed
515,1304,2024-01-25,Medium,Open
516,3452,2025-09-01,High,Closed
517,3524,2024-04-17,High,Closed
518,5040,2024-10-03,Low,Closed
519,5161,2025-10-17,Low,In Progress
520,3993,2026-04-28,Low,Closed
521,4467,2024-07-19,Medium,Closed
522,1936,2024-06-09,Medium,Open
523,2584,2025-09-28,Low,Closed
524,5005,2026-05-13,Medium,Closed
525,1658,2026-06-13,High,Closed
526,3245,2024-12-04,High,Closed
527,2250,2026-05-20,Low,Closed
528,2007,2025-12-14,Medium,Closed
529,3411,2023-06-27,High,Closed
530,3230,2024-06-15,Medium,In Progress
531,5627,2024-11-25,High,In Progress
532,5661,2024-08-25,Medium,Closed
533,3607,2024-12-05,Medium,In Progress
534,3072,2026-06-18,Low,Closed
535,4995,2024-06-04,Medium,Closed
536,5264,2023-12-12,Low,Closed
537,3630,2024-12-31,Medium,Closed
538,2472,2026-02-17,Low,Closed
539,3897,2024-07-03,Critical,Closed
540,1552,2024-05-13,Medium,Closed
541,1044,2023-12-08,Low,Closed
542,3346,2025-01-18,Low,Closed
543,4244,2026-02-18,Low,Closed
544,2569,2026-06-12,Medium,Closed
545,5922,2023-11-05,Medium,Closed
546,5331,2023-08-27,Low,In Progress
547,1217,2025-11-04,Medium,Closed
548,1508,2024-09-19,Low,Closed
549,5656,2024-12-18,Low,Closed
550,2825,2025-04-20,Low,Closed
551,5784,2025-08-12,Low,Closed
552,2508,2023-12-03,Critical,Closed
553,1959,2023-07-17,High,In Progress
554,1586,2026-01-29,Medium,Open
555,3991,2025-04-06,Medium,Closed
556,5625,2025-11-06,High,Closed
557,1287,2023-12-07,Medium,Closed
558,3164,2026-01-07,Medium,Open
559,5955,2024-08-03,High,Closed
560,5945,2024-05-22,Low,Open
561,1360,2023-12-23,Critical,Closed
562,5239,2023-11-11,Medium,Closed
563,1609,2024-05-20,Low,Closed
564,1059,2024-02-12,High,In Progress
565,5790,2024-05-23,High,Closed
566,1269,2026-02-06,Medium,In Progress
567,5398,2026-02-11,High,Closed
568,3548,2023-10-17,Medium,Closed
569,5285,2023-07-10,Medium,Closed
570,5244,2024-10-24,Low,In Progress
571,2430,2024-07-03,Medium,Closed
572,4069,2025-02-03,High,Closed
573,4440,2025-09-01,Medium,Closed
574,2309,2026-04-20,Low,Closed
575,2867,2025-11-13,Critical,Closed
576,1435,2026-06-20,Low,Closed
577,4349,2025-01-31,Medium,Closed
578,4782,2024-04-11,Critical,In Progress
579,3414,2024-06-28,Low,Closed
580,3233,2024-07-14,Critical,In Progress
581,1469,2024-06-07,Medium,Closed
582,4770,2025-09-01,Medium,Closed
583,4060,2025-09-23,Critical,Closed
584,4706,2025-02-26,Critical,Closed
585,5249,2024-06-15,Low,Closed
586,2650,2025-07-31,Low,Closed
587,3516,2023-08-10,Low,Closed
588,3314,2025-02-26,Medium,Closed
589,3530,2024-09-24,Medium,In Progress
590,1069,2024-06-24,Critical,Closed
591,1680,2026-02-12,Critical,Closed
592,3370,2023-09-08,Low,Closed
593,2401,2023-09-24,Low,In Progress
594,4059,2026-06-26,Low,Closed
595,2940,2024-05-03,High,Closed
596,1542,2024-03-12,Low,In Progress
597,2576,2026-04-10,Medium,In Progress
598,1297,2025-09-06,Low,Closed
599,2417,2024-03-26,Low,Closed
600,1079,2025-10-14,Medium,In Progress
601,3690,2024-05-01,Low,Closed
602,3718,2024-05-26,Medium,Closed
603,3193,2026-05-12,Medium,Open
604,2185,2023-07-10,Medium,Closed
605,2339,2024-09-02,Low,Closed
606,2695,2024-10-13,High,Open
607,1797,2024-09-11,Medium,Closed
608,1816,2026-03-12,Low,In Progress
609,2563,2023-12-15,Critical,Closed
610,2115,2023-08-11,Low,Open
611,5229,2026-02-11,High,Closed
612,1632,2025-08-02,Low,Open
613,5305,2024-10-05,Medium,Closed
614,3569,2024-08-21,Low,Closed
615,4295,2025-05-23,Medium,Closed
616,3508,2025-02-09,Low,Closed
617,4011,2025-10-03,Medium,In Progress
618,4213,2024-02-23,Critical,Open
619,1414,2025-09-01,Medium,Closed
620,1380,2026-03-03,Low,Closed
621,1816,2026-05-17,Critical,Open
622,1845,2025-03-20,Low,Closed
623,3978,2025-03-11,Low,In Progress
624,3810,2025-09-18,Medium,Closed
625,4638,2025-04-01,High,Closed
626,5801,2024-05-28,Medium,In Progress
627,2933,2025-03-10,Medium,Closed
628,2181,2025-07-26,Low,Closed
629,4779,2026-04-06,Medium,Closed
630,2134,2025-12-07,High,Closed
631,2719,2025-11-14,High,Closed
632,3108,2024-02-18,Low,Closed
633,3629,2025-06-24,Critical,Closed
634,3828,2025-04-19,High,Closed
635,1968,2026-04-09,Medium,Closed
636,1183,2023-10-20,Low,Closed
637,2042,2025-10-15,High,In Progress
638,1655,2024-04-14,Critical,Closed
639,4736,2026-03-31,Critical,In Progress
640,3251,2025-11-01,Low,Closed
641,5444,2025-10-27,Medium,Closed
642,3242,2024-01-29,Low,Open
643,5635,2023-08-06,Medium,Closed
644,2563,2023-06-29,Critical,Closed
645,1881,2024-05-06,Medium,Closed
646,2843,2023-08-02,High,Closed
647,3838,2026-03-19,Medium,Closed
648,4922,2025-03-03,High,Closed
649,3764,2026-02-13,Critical,Open
650,4883,2025-11-14,Critical,Closed
651,3796,2024-04-17,Low,Closed
652,4557,2024-05-09,Low,Closed
653,3359,2025-08-08,Medium,In Progress
654,3194,2026-03-20,Low,In Progress
655,1573,2024-06-28,Critical,Closed
656,1984,2026-01-18,Low,Closed
657,3407,2024-05-13,Medium,Closed
658,5956,2026-06-17,Medium,In Progress
659,3517,2024-02-03,Low,Closed
660,3724,2026-03-07,High,Closed
661,4554,2024-08-15,Medium,Closed
662,1266,2023-08-18,Critical,Closed
663,4617,2024-04-30,Critical,Closed
664,1731,2025-10-30,Low,Closed
665,4558,2025-03-26,Medium,In Progress
666,3023,2023-12-20,Medium,Open
667,4976,2025-04-19,High,Closed
668,2800,2025-09-15,High,Closed
669,3752,2025-01-28,Low,Closed
670,4625,2025-06-13,Medium,Open
671,3007,2023-12-09,High,Closed
672,4188,2024-08-27,High,In Progress
673,4724,2026-03-25,Medium,In Progress
674,2172,2025-05-09,Low,Closed
675,1237,2025-05-02,Medium,Closed
676,2676,2025-03-16,High,Closed
677,4487,2025-04-18,Low,Closed
678,5372,2024-11-26,Low,Closed
679,3117,2025-12-29,Medium,Open
680,4895,2023-10-27,Medium,Closed
681,5448,2025-04-10,High,Closed
682,2470,2023-09-11,High,Closed
683,3945,2024-04-21,Low,Closed
684,5202,2023-12-09,Low,Closed
685,3374,2024-11-01,Low,Closed
686,1478,2025-04-05,Low,Closed
687,2309,2024-08-12,Low,Closed
688,1748,2023-11-02,Medium,Closed
689,4259,2025-01-13,Medium,Closed
690,1800,2024-01-03,Medium,Open
691,2462,2024-04-29,High,Closed
692,4738,2024-11-13,Critical,Closed
693,1657,2024-09-08,Medium,Closed
694,1108,2025-11-16,Critical,Closed
695,5971,2024-12-06,Critical,Closed
696,4394,2025-03-23,Low,Closed
697,2135,2024-10-22,Medium,Closed
698,2837,2024-03-08,High,Closed
699,4326,2024-02-11,High,Open
700,1414,2024-02-17,High,Open
701,3294,2026-04-28,Low,Closed
702,2187,2024-02-20,Medium,In Progress
703,1098,2024-04-28,Medium,Closed
704,2789,2025-06-21,Low,Closed
705,3480,2025-12-17,Low,Closed
706,2764,2025-11-01,Low,Closed
707,4815,2024-02-19,Medium,Closed
708,5134,2023-11-11,Medium,Closed
709,2254,2024-02-01,Medium,In Progress
710,1285,2024-01-12,Medium,Closed
711,3980,2026-05-18,Critical,Open
712,5638,2024-03-23,Critical,Closed
713,5911,2024-08-18,Low,Closed
714,2554,2025-07-06,Critical,Open
715,4352,2024-06-13,Low,Closed
716,2745,2023-10-03,Low,Closed
717,3708,2025-09-19,Low,Closed
718,2096,2025-07-08,Low,Open
719,4392,2024-05-05,Low,Closed
720,5042,2024-05-07,Medium,Closed
721,5279,2026-05-13,Low,Closed
722,1150,2026-04-22,Low,Open
723,2354,2024-07-16,Medium,Closed
